strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Telgte/17626/2013	MK362958	H3N2	2013-04-11	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Boitzenborstel/17524/2013	MK362950	H3N2	2013-03-25	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Bad_Wuennenberg/17298/2013	MK362942	H3N2	2013-02-12	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Melle/17290/2013	MK362934	H3N2	2013-02-26	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Nottuln/17261/2013	MK362926	H3N2	2013-02-21	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Steinfurt/17118/2013	MK362918	H3N2	2013-02-05	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Lohne/17104/2013	MK362910	H3N2	2013-01-29	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Parschalling/17042/2013	MK362902	H3N2	2013-01-19	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Salzkotten/17022/2013	MK362894	H3N2	2013-01-18	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Boesingen/16789/2012	MK362886	H3N2	2012-12-14	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Bad_Wuennenberg/14829/2012	MK362878	H3N2	2012-02-22	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Ruethen/14808/2012	MK362862	H3N2	2012-02-13	Swine	Germany	Europe	Swine	swine	Swine
